part_num,quantity,set_id,color,_name
60616a,2,10703-1,Trans-Light Blue,2x Door  1 x  4 x  6 Smooth with Square Handle Plinth
60616a,1,10703-1,Trans-Clear,1x Door  1 x  4 x  6 Smooth with Square Handle Plinth
11211,1,10706-1,Dark Blue,1x Brick Special 1 x 2 with Studs on 1 Side
15535,1,10706-1,Orange,1x Tile 2 x 2 Round with Hole
15535,1,10706-1,Medium Blue,1x Plate Special 1 x 2 with 1 Stud with Groove and Inside Stud Holder (Jumper)
18674,1,10706-1,Medium Azure,1x Tile 2 x 2 Round with Center Stud
